Time, L Pixel X  , L Pixel Y  , L Pixel Z, L hit point in Z , L Looking At, L World X, L World Y, R Pixel X , R Pixel Y  , R Pixel Z, R hit point in Z , R Looking At, R World X, R World Y, C Pixel X , C Pixel Y  , C Pixel Z, C hit point in Z , C Looking At, C World X, C World Y, L Origin X , L Origin Y  , L Origin Z, R Origin X  , R Origin Y  , R Origin Z
638176969152703300, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03072122, 0.00286969, -0.0313528, 0.03225765, 0.003721878, -0.03340286
638176969152863304, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.0307544, 0.00266774, -0.03083817, 0.03219754, 0.003673783, -0.03324268
638176969153033301, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03095563, 0.002943741, -0.03178507, 0.03203897, 0.003611038, -0.03296484
638176969153203367, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03109064, 0.003047058, -0.03157062, 0.0318871, 0.003687043, -0.03252959
638176969153363394, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03135216, 0.002940735, -0.03120807, 0.03164049, 0.003860947, -0.03256905
638176969153533302, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03171462, 0.002953629, -0.03164989, 0.03130437, 0.003648773, -0.03170264
638176969153693299, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03209378, 0.002948532, -0.0319834, 0.0309158, 0.003714798, -0.03179244
638176969153863386, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03249881, 0.002879211, -0.03239324, 0.03053618, 0.00363234, -0.03169448
638176969154043372, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03287163, 0.00255072, -0.03213463, 0.03011955, 0.00329718, -0.03090653
638176969154193814, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03301138, 0.002421814, -0.03213501, 0.02994483, 0.003269959, -0.03074727
638176969155033310, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03288654, 0.001720108, -0.03274036, 0, 0, 0
638176969155193305, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03329486, 0.001794937, -0.03354764, 0.02963138, 0.003303482, -0.03046048
638176969155363305, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.0332778, 0.001589691, -0.03273221, 0.02960452, 0.003402313, -0.03081005
638176969155533316, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03338525, 0.001666763, -0.03283106, 0.02944299, 0.003308029, -0.0300032
638176969155703296, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03346214, 0.001745667, -0.03241341, 0.02939459, 0.003387863, -0.02985448
638176969155863299, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03332741, 0.002023605, -0.03386119, 0.02944925, 0.003501465, -0.02991699
638176969159533394, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03197022, 0.00172821, -0.03179608, 0.03132532, 0.002887497, -0.03064881
638176969159693377, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03201581, 0.001511719, -0.03107445, 0.03133791, 0.00344545, -0.03240743
638176969159863308, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03223931, 0.001867172, -0.0325564, 0.03124829, 0.003653381, -0.0328627
638176969160033300, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03228871, 0.002455994, -0.0343342, 0.03114092, 0.003523636, -0.03225463
638176969160203443, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03223087, 0.001943512, -0.03240186, 0.03096556, 0.003232132, -0.03131252
