Time, L Pixel X  , L Pixel Y  , L Pixel Z, L hit point in Z , L Looking At, L World X, L World Y, R Pixel X , R Pixel Y  , R Pixel Z, R hit point in Z , R Looking At, R World X, R World Y, C Pixel X , C Pixel Y  , C Pixel Z, C hit point in Z , C Looking At, C World X, C World Y, L Origin X , L Origin Y  , L Origin Z, R Origin X  , R Origin Y  , R Origin Z
638175053618956809, 792.0001, 882, -46.83038, 80.44973, large, -23.01015, -10.48024, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03746146, -0.008586732, -0.0360822
638175053619836795, 918.7925, 825.6366, -46.8303, 79.22911, large, -20.84829, 6.185805, 907.7132, 839.2599, -46.8303, 78.92046, large, -20.07542, 4.237244, 914.6155, 830.7795, -46.8303, 79.10625, large, -20.53762, 5.451077, -0.02850447, 0.002505768, -0.03754086, 0.0347787, -0.004123032, -0.03074443
638175053620006830, 912.3947, 812.457, -46.8303, 79.75695, large, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 79.75695, large, -22.63795, 6.38044, -0.02887268, 0.00207341, -0.03782248, 0.03448541, -0.002452469, -0.03588918
638175053620156805, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.02932852, 0.001515503, -0.03712248, 0.03396919, -0.004893936, -0.02933846
638175053620286803, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.02977713, 0.00112497, -0.03621044, 0.03356485, -0.002246689, -0.03576105
638175053620446793, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03028948, 0.001623596, -0.03726271, 0.03307941, -0.002112274, -0.03495125
638175053620616826, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03078061, 0.001896851, -0.03714311, 0.03259335, -0.002024796, -0.03327507
638175053620776795, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03119112, 0.002017365, -0.03634753, 0.03214118, -0.001675903, -0.03206113
638175053620946807, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.0316068, 0.002218628, -0.03593851, 0.03174873, -0.000754715, -0.03307938
638175053621126801, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03178762, 0.002145111, -0.03437842, 0.03152867, -0.0003016815, -0.0325007
638175053621286841, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03163239, 0.002458344, -0.03434471, 0.03154602, 5.331421E-05, -0.03212415
638175053621446806, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03151409, 0.002086258, -0.03354621, 0.03163429, 0.0002911224, -0.03248807
638175053621616799, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03161536, 0.001368271, -0.03287378, 0.03157211, -2.796936E-05, -0.03200575
638175053621786805, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03167951, 0.001086517, -0.03279558, 0.03150122, -0.0005311127, -0.0310164
638175053621946813, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03182317, 0.0003452149, -0.03246562, 0.03139049, -0.0009336853, -0.03112756
638175053622116794, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03195583, -0.0004093476, -0.0321839, 0.03127822, -0.001510788, -0.03072167
638175053622276804, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03203215, -0.001228928, -0.03140497, 0.0311705, -0.002160431, -0.03019458
638175053622446799, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03212373, -0.001412552, -0.03166742, 0.03112557, -0.002318772, -0.03038368
638175053622606794, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03212866, -0.0015271, -0.03149574, 0.03101561, -0.003252915, -0.02791292
638175053622776808, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03204965, -0.001443512, -0.03129018, 0.03118683, -0.002383057, -0.0301024
638175053622946805, 912.3947, 812.457, -46.8303, 0, N/A, -22.66795, 6.380439, 907.7132, 839.2599, -46.8303, 0, N/A, -20.07542, 4.237244, 912.3947, 812.457, -46.8303, 0, N/A, -22.63795, 6.38044, -0.03192301, -0.001466843, -0.03060709, 0.03133985, -0.002315445, -0.02987247
