Time, L Pixel X  , L Pixel Y  , L Pixel Z, L hit point in Z , L Looking At, L World X, L World Y, R Pixel X , R Pixel Y  , R Pixel Z, R hit point in Z , R Looking At, R World X, R World Y, C Pixel X , C Pixel Y  , C Pixel Z, C hit point in Z , C Looking At, C World X, C World Y, L Origin X , L Origin Y  , L Origin Z, R Origin X  , R Origin Y  , R Origin Z
638374042926490070, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02672661, -0.001931275, -0.04593407
638374042926599995, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02696123, 0.00329039, -0.05979784
638374042926709965, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.0268354, -0.002563904, -0.04427191
638374042926820153, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.0268354, -0.002563904, -0.04427191
638374042926939977, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02715328, -0.0004767151, -0.05012912
638374042927040045, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02713754, -0.003151398, -0.04133692
638374042927150057, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02713754, -0.003151398, -0.04133692
638374042927270123, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02751103, -1.620483E-05, -0.04784766
638374042927370031, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02766939, 0.0001218262, -0.04538644
638374042927480030, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02766939, 0.0001218262, -0.04538644
638374042927599970, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02815854, 0.001974426, -0.04730991
638374042927710060, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02872412, 0.004912476, -0.0522714
638374042927819972, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.0289772, 0.005909821, -0.053273
638374042927929973, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.0289772, 0.005909821, -0.053273
