Time, L Pixel X  , L Pixel Y  , L Pixel Z, L hit point in Z , L Looking At, L World X, L World Y, R Pixel X , R Pixel Y  , R Pixel Z, R hit point in Z , R Looking At, R World X, R World Y, C Pixel X , C Pixel Y  , C Pixel Z, C hit point in Z , C Looking At, C World X, C World Y, L Origin X , L Origin Y  , L Origin Z, R Origin X  , R Origin Y  , R Origin Z
638341127365596961, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03169356, -0.001600891, -0.03172756
638341127365696958, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03169356, -0.001600891, -0.03172756
638341127365806951, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03162503, -0.001788529, -0.03076242
638341127365916967, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03157979, -0.001299164, -0.03250859
638341127366026942, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03157979, -0.001299164, -0.03250859
638341127366144535, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03152037, -0.001750397, -0.03206441
638341127366254540, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03367262, 0.002381165, -0.03539794, 0.03142705, -0.002261215, -0.03144442
638341127366364530, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03367262, 0.002381165, -0.03539794, 0.03142705, -0.002261215, -0.03144442
638341127366474545, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03378812, 0.002196747, -0.03521883, 0.03135536, -0.002326599, -0.03186977
638341127366589781, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03389963, 0.001998291, -0.03515441, 0.03129909, -0.002449982, -0.03209803
638341127366700993, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03402328, 0.001569977, -0.03503444, 0.03113112, -0.002861572, -0.03168204
638341127366811034, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03402328, 0.001569977, -0.03503444, 0.03113112, -0.002861572, -0.03168204
