Time, L Pixel X  , L Pixel Y  , L Pixel Z, L hit point in Z , L Looking At, L World X, L World Y, R Pixel X , R Pixel Y  , R Pixel Z, R hit point in Z , R Looking At, R World X, R World Y, C Pixel X , C Pixel Y  , C Pixel Z, C hit point in Z , C Looking At, C World X, C World Y, L Origin X , L Origin Y  , L Origin Z, R Origin X  , R Origin Y  , R Origin Z
638372111908096524, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02900105, -0.008501893, -0.02550991, 0, 0, 0
638372111908193963, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02900105, -0.008501893, -0.02550991, 0, 0, 0
638372111908303960, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02911176, -0.005710724, -0.02746117, 0, 0, 0
638372111908423973, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02910657, -0.001492294, -0.03488112, 0.03434125, -0.002151535, -0.04028914
638372111908533968, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02910657, -0.001492294, -0.03488112, 0.03434125, -0.002151535, -0.04028914
638372111908643980, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02927036, -0.0002781677, -0.03388786, 0.03399057, 0.001479431, -0.04835956
638372111908753972, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02925542, -9.016419E-05, -0.03440882, 0.03414653, 0.001439987, -0.04912589
638372111908870423, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02914137, 0.0003713837, -0.03377582, 0.03273323, 0.01599817, -0.09220105
638372111908970408, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02914137, 0.0003713837, -0.03377582, 0.03273323, 0.01599817, -0.09220105
638372111909080400, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03260916, 0.01650542, -0.09196062
638372111909197390, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03261963, 0.01675, -0.09041135
638372111909307369, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03261963, 0.01675, -0.09041135
638372111909417426, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03409471, 0.003040726, -0.04187845
638372111909537372, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03428508, 0.003255676, -0.04111623
638372111909647463, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.03428508, 0.003255676, -0.04111623
638372111909747362, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.0291863, 0.005348099, -0.04066731, 0.03438577, 0.00413884, -0.04281946
638372111909867362, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02811424, 0.000162735, -0.02401277, 0.03441997, 0.004566208, -0.04304607
638372111909979984, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.02903932, 0.005723404, -0.04001898, 0.03441553, 0.004845307, -0.04305472
